service_index	service_key	service_name_short	question_profile	natural_subject	who	need	negative_terms
017	service_017	Получение свидетельства о праве на меры социальной поддержки	repressed_certificate	свидетельство о праве на меры поддержки для репрессированных	реабилитированный гражданин или пострадавший от репрессий	нужно получить свидетельство по политическим репрессиям	
018	service_018	Ежемесячная денежная выплата отдельным категориям граждан	edv_categories	ежемесячную выплату ветерану труда или другой льготной категории	ветеран труда, труженик тыла или реабилитированный гражданин	хочу оформить ЕДВ как ветеран труда	
019	service_019	ЕДВ членам семей погибших военнослужащих	fallen_military_family_edv	ЕДВ семье погибшего военнослужащего	член семьи погибшего военнослужащего	погиб родственник-военнослужащий, нужна ежемесячная поддержка	
020	service_020	Предоставление льготного (бесплатного) проезда отдельным категориям граждан Льготный проезд в общественном транспорте для участников СВО, ветеранов боевых действий и членов их семей	social_card_transport	социальную карту для льготного проезда	участник СВО, ветеран боевых действий или член семьи	нужен бесплатный проезд в автобусе	
021	service_021	Социальное пособие на погребение	funeral_benefit	деньги на похороны	человек, который занимался похоронами	умер родственник, нужны деньги на похороны	
022	service_022	Возмещение специализированным службам стоимости услуг по погребению	funeral_service_reimbursement	возмещение расходов похоронной службе	специализированная похоронная служба	похоронная служба оказала гарантированные услуги и хочет возмещение	
023	service_023	Единовременная материальная помощь на текущий ремонт жилого помещения	home_repair_help	материальную помощь на ремонт жилья	льготник, которому нужен ремонт жилья	квартира в плохом состоянии, нужен текущий ремонт	
024	service_024	Ежегодная денежная выплата почётным донорам	honorary_donor	ежегодную выплату почётному донору	почётный донор России	есть знак почётного донора, хочу оформить ежегодную выплату	
025	service_025	Компенсация расходов по оплате жилого помещения и жилищно-коммунальных услуг отдельным категориям граждан Компенсация расходов на оплату ЖКУ участникам СВО, ветеранам боевых действий и членам их семей	jku_compensation	компенсацию за квартиру и коммуналку льготнику	льготник, участник СВО или член семьи	коммуналка стала дорогая, хочу компенсацию как льготник	
026	service_026	Предоставление субсидий на оплату жилых помещений и коммунальных услуг	jku_subsidy	субсидию на оплату квартиры и коммуналки	семья с небольшим доходом	не хватает денег платить за квартиру и коммуналку	
027	service_027	Получение проездных удостоверений отдельными категориями граждан	travel_certificate	проездное удостоверение для льготного проезда	льготник	нужно оформить удостоверение на льготный проезд	
028	service_028	Выплата на ребёнка, которому не предоставлено место в детском саду	no_kindergarten_payment	выплату за то, что ребёнку не дали садик	родитель ребёнка от полутора до трёх лет	ребёнку не дали место в садике, сидим дома	
029	service_029	Пособие семьям с детьми, где родители являются инвалидами	parents_disabled_child_benefit	пособие семье, где родители инвалиды	семья с ребёнком, где родители инвалиды	оба родителя инвалиды, есть ребёнок, нужна поддержка	
030	service_030	Предоставление ежегодного пособия на ребёнка школьного возраста	school_benefit	школьную выплату на ребёнка	родитель школьника	нужно собрать ребёнка в школу, денег не хватает	
031	service_031	Пособие при рождении двух и более детей	multiple_birth_benefit	пособие при рождении двойни или тройни	родитель двух и более новорождённых детей	родилась двойня, расходы резко выросли	
032	service_032	Доплата кпенсии по потере кормильца	survivor_pension_supplement	доплату к пенсии по потере кормильца	получатель пенсии по потере кормильца	пенсия по потере кормильца маленькая, нужна доплата	
033	service_033	Компенсация проезда детям из малобеспеченных семей и сопровождающим	low_income_child_travel	компенсацию проезда ребёнка из малообеспеченной семьи	родитель ребёнка из малообеспеченной семьи	ребёнку нужно ехать, а билеты дорогие	
034	service_034	Выдача путёвок на санаторно-курортное лечение детей	child_sanatorium	санаторную путёвку ребёнку	родитель ребёнка, которому нужен санаторий	ребёнку нужен санаторий по здоровью	
035	service_035	Компенсация проезда по социальной карте детям школьного возраста	school_social_card_travel	компенсацию проезда школьника по социальной карте	родитель школьника с социальной картой	ребёнок ездит по социальной карте, хочу вернуть часть расходов	
036	service_036	Предоставление регионального материнского (семейного) капитала	regional_maternity_capital	региональный материнский капитал	семья с детьми	родился ещё один ребёнок, хотим узнать про краевой маткапитал	
037	service_037	Компенсация проезда получателям социальной пенсии и споровождабщим к месту отдыха	social_pensioner_vacation_travel	компенсацию проезда пенсионеру к месту отдыха	получатель социальной пенсии	пенсионеру нужно съездить к месту отдыха	
038	service_038	Компенсация проезда беременным женщинам	pregnant_travel	компенсацию проезда беременной женщине	беременная женщина	надо ехать на обследование или роды, дорога дорогая	
039	service_039	Ежегодная выплата отдельным категориям граждана, подвергшихся воздействию радиации	radiation_annual	ежегодную выплату пострадавшему от радиации	гражданин, пострадавший от радиации	есть статус пострадавшего от радиации, хочу ежегодную выплату	
040	service_040	Ежемесячная выплата членамсемей отдельных категорий граждан, подвергшихся воздействию радиации	radiation_family_monthly	ежемесячную выплату семье пострадавшего от радиации	член семьи гражданина, пострадавшего от радиации	родственник пострадал от радиации, семье нужна выплата	
041	service_041	Оплата изготовления стоматологических протезов в размере 80 процентов	dental_80	оплату 80 процентов зубных протезов	льготник, которому нужны зубные протезы	нужно поставить зубные протезы, дорого платить полностью	
042	service_042	Материальная помощь гражданам, выезжающим на пмж за пределы Таймыра	taimyr_move	помощь на переезд с Таймыра на постоянное место жительства	житель Таймыра, который выезжает на ПМЖ	переезжаем с Таймыра, нужны деньги на выезд	
043	service_043	Материальная помощь на Таймыре на проезд инвалидам за протезами и обеспечение инвалидов ТСР	taimyr_tsr_travel	помощь на проезд за протезами или ТСР на Таймыре	инвалид на Таймыре	нужно ехать за протезом или средством реабилитации	
044	service_044	Материальная помощь на Таймыре пенсионерам с лиабетом или онкологией	taimyr_medical_help	материальную помощь пенсионеру на Таймыре при диабете или онкологии	пенсионер на Таймыре с диабетом или онкологией	нужны деньги на лечение при диабете или онкологии	
045	service_045	Материальное обеспечение за особые заслуги перед Таймырским округом	taimyr_merits	выплату за особые заслуги перед Таймыром	человек с особыми заслугами перед Таймыром	есть заслуги перед округом, хочу узнать про материальное обеспечение	
046	service_046	Оформление ежемесячной выплаты для неработающих граждан	monthly_nonworking	ежемесячную выплату неработающему гражданину	неработающий гражданин	не работаю, хочу узнать про ежемесячную выплату	
047	service_047	Меры социальной поддержки многодетным семьям на Таймыре	taimyr_large_family	поддержку многодетной семье на Таймыре	многодетная семья на Таймыре	у нас трое детей на Таймыре, нужна поддержка	
048	service_048	ЕДВ на Таймыре детям-сиротам в период обучения	taimyr_orphan_student	ЕДВ сироте, который учится на Таймыре	ребёнок-сирота или лицо из числа сирот	я сирота и учусь, нужна ежемесячная выплата	
049	service_049	Дополнительные МСП выпускникам ВУЗов, работающим на Таймыре	taimyr_graduate	поддержку выпускнику вуза, который работает на Таймыре	молодой специалист после вуза на Таймыре	после вуза устроился работать на Таймыре	
050	service_050	Выплаты ветеранам ко Дню защитника Отечества на Таймыре	taimyr_feb23_veteran	выплату ветерану ко Дню защитника Отечества на Таймыре	ветеран на Таймыре	хочу узнать про выплату к 23 февраля	
051	service_051	ЕДВ участникам ВОВ на Таймыре	taimyr_ww2_edv	ЕДВ участнику войны на Таймыре	участник Великой Отечественной войны на Таймыре	я участник войны, хочу оформить ежемесячную выплату	
052	service_052	ЕДВ ветеранам труда на Таймыре	taimyr_labor_veteran_edv	ЕДВ ветерану труда на Таймыре	ветеран труда на Таймыре	я ветеран труда, хочу оформить выплату на Таймыре	
053	service_053	ЕДВ почетным гражданам на Таймыре	taimyr_honorary_citizen	ЕДВ почётному гражданину на Таймыре	почётный гражданин Таймыра	есть звание почётного гражданина, нужна выплата	
054	service_054	ЕДВ в честь Победы на Таймыре	taimyr_victory_day	выплату ко Дню Победы на Таймыре	ветеран или другая льготная категория на Таймыре	хочу узнать про выплату к 9 Мая	
055	service_055	Компенсация расходов по оплате жилого помещения и жилищно-коммунальных услуг отдельным категориям граждан	jku_compensation_general	компенсацию за жильё и коммуналку льготнику	льготник	хочу оформить компенсацию за квартиру и коммуналку	
056	service_056	Материальная помощь для ухода одинокопроживающим с онкологией	oncology_care_help	материальную помощь на уход за одиноким человеком с онкологией	одинокий человек с онкологией или ухаживающий за ним	онкобольной живёт один, нужен уход и помощь	
057	service_057	Компенсация проезда инвалидам на Таймыре и сопровождающим к месту отдыха	taimyr_disabled_vacation_travel	компенсацию проезда инвалиду на Таймыре к месту отдыха	инвалид на Таймыре	инвалиду нужно съездить к месту отдыха	
058	service_058	Компенсация расходов инвалидам и детям-инвалидам за обучение в Эвенкии	evenkia_disabled_education	компенсацию за обучение инвалида в Эвенкии	инвалид или ребёнок-инвалид в Эвенкии	инвалиду нужно оплатить обучение	
059	service_059	Компенсация проезда инвалидам и детям-инвалидам на лечение в Эвенкии	evenkia_disabled_treatment_travel	компенсацию проезда инвалиду на лечение в Эвенкии	инвалид или ребёнок-инвалид в Эвенкии	надо ехать на лечение, дорога дорогая	
060	service_060	Компенсация проезда инвалидам к месту отдыха в Эвенкии	evenkia_disabled_vacation_travel	компенсацию проезда инвалиду из Эвенкии к месту отдыха	инвалид в Эвенкии	инвалиду нужно поехать к месту отдыха	
061	service_061	Компенсция проезда безработным в Эвенкии	evenkia_unemployed_travel	компенсацию проезда безработному в Эвенкии	безработный гражданин в Эвенкии	я без работы, нужно компенсировать проезд	
062	service_062	Пособие одинокой материи в Эвенкии	evenkia_single_mother	пособие одинокой матери в Эвенкии	одинокая мать в Эвенкии	одна воспитываю ребёнка, нужна выплата	
063	service_063	ЕДВ гражданам в Эвенкии	evenkia_edv	ЕДВ гражданину в Эвенкии	житель Эвенкии из льготной категории	живу в Эвенкии и хочу узнать про ежемесячную выплату	
064	service_064	Бесплатное санаторно-курортное лечение труженикам тыла в Эвенкии	evenkia_homefront_sanatorium	санаторную путёвку труженику тыла в Эвенкии	труженик тыла в Эвенкии	нужна бесплатная санаторная путёвка	
065	service_065	АСП участникам и инвалидам ВОВ в Эвенкии	evenkia_ww2_asp	адресную помощь участнику или инвалиду войны в Эвенкии	участник или инвалид ВОВ в Эвенкии	ветерану войны нужна адресная помощь	
066	service_066	Компенсация расходов по оплате жилого помещения и жилищно-коммунальных услуг отдельным категориям граждан в Эвенкии	evenkia_jku_comp	компенсацию ЖКУ льготнику в Эвенкии	льготник в Эвенкии	коммуналка дорогая, нужна компенсация	
067	service_067	МСП отдельным категориям граждан по оплате жилья и коммунальных услуг в Эвенкии	evenkia_jku_support	поддержку по оплате жилья и коммуналки в Эвенкии	льготник в Эвенкии	нужна помощь с оплатой квартиры и коммуналки	
068	service_068	Выплаты неработающим, пенсионерам, инвалидам в Эвенкии	evenkia_nonworking_pensioner	выплату неработающему пенсионеру или инвалиду в Эвенкии	неработающий пенсионер или инвалид в Эвенкии	пенсионер не работает, нужна выплата	
069	service_069	ЭДВ почетным жителям Эвенкии	evenkia_honorary_citizen	ЕДВ почётному жителю Эвенкии	почётный житель Эвенкии	есть звание почётного жителя, нужна выплата	
070	service_070	Компенсация расходов на зубопротезирование ветеранам труда края, жителям осажденных городов, узникам концлагерей	dental_veteran_krai	компенсацию за зубные протезы ветерану труда края	ветеран труда края или бывший узник концлагеря	нужно поставить зубные протезы, дорого	холодильник;дрова;еда;пожар;школа
071	service_071	Компенсация расходов на благоустройство могил участников ВОВ	ww2_grave	компенсацию за благоустройство могилы участника войны	родственник участника ВОВ	нужно привести в порядок могилу участника войны	
072	service_072	Компенсация расходов на проезд реабилитированным гражданам	repressed_travel	компенсацию проезда реабилитированному гражданину	реабилитированный гражданин	как реабилитированный хочу вернуть деньги за проезд	
073	service_073	Распоряжение региональным материнским (семейным) капиталом	use_regional_maternity_capital	использование регионального маткапитала	семья с сертификатом на краевой маткапитал	сертификат на маткапитал есть, хотим потратить деньги	
074	service_074	Оказание государственной социальной помощи отдельным категориям граждан	state_social_help	государственную социальную помощь	гражданин из нужной категории	нужна государственная социальная помощь	
075	service_075	Получение выплаты на развитие личного подсобного хозяйства	lph_payment	выплату на личное подсобное хозяйство	человек, который ведёт или хочет вести ЛПХ	хочу завести хозяйство, нужны деньги на ЛПХ	
076	service_076	Единовременная материальная помощь на ремонт печного отопления и электропроводки	stove_wiring_repair	помощь на ремонт печки или электропроводки	житель дома с печным отоплением или старой проводкой	печка сломалась или проводка опасная, денег на ремонт нет	
077	service_077	Путевки для детей в оздоровительные лагеря	child_camp	путёвку ребёнку в оздоровительный лагерь	родитель ребёнка	хочу отправить ребёнка в летний лагерь	
078	service_078	Ежегодная выплата к годовщине Победы	victory_day_payment	ежегодную выплату ко Дню Победы	ветеран или другая категория к годовщине Победы	хочу узнать про выплату к 9 Мая	
079	service_079	Компенсация расходов на зубопротезирование участникам и инвалидам ВОВ, жителям осажденных городов, узникам концлагерей	dental_ww2	компенсацию зубных протезов участнику или инвалиду войны	участник или инвалид ВОВ	ветерану войны нужно протезирование зубов	
080	service_080	Проверка выплата на ремонт ветеранам ВОВ	ww2_repair	помощь на ремонт ветерану войны	ветеран ВОВ	ветерану войны нужен ремонт жилья	
081	service_081	Государственная социальная помощь на основании социального контракта	social_contract	социальный контракт	малоимущая семья или гражданин	хочу выйти из трудной ситуации через соцконтракт	
082	service_082	Признание гражданина нуждающимся в соцобслуживании	social_service_need	признание нуждающимся в соцобслуживании	человек, которому трудно обслуживать себя	пожилому человеку нужна помощь соцработника	
083	service_083	Социальные выплаты пережившим войну в детском возрасте	war_child_payment	выплату пережившему войну в детстве	человек, переживший войну ребёнком	я ребёнок войны, хочу узнать про выплату	
084	service_084	АМП участникам и инваоидам ВОВ на установку и обслуживание тревожной кнопки	alarm_button_ww2	тревожную кнопку для участника или инвалида войны	участник или инвалид ВОВ	ветерану нужна тревожная кнопка дома	
085	service_085	Ежемесячная денежная выплата детям погибших участников СВО	svo_child_edv	ЕДВ ребёнку погибшего участника СВО	ребёнок погибшего участника СВО	отец погиб на СВО, ребёнку нужна выплата	
086	service_086	Получение выплаты при утрате имущества в результате чрезвычайной ситуации	emergency_property_loss	выплату за утраченное имущество после ЧС	человек, потерявший имущество при ЧС	затопило или сгорело жильё, имущество пропало	
087	service_087	Выплата материальной помощи пострадавшим при чрезвычайных ситуациях	emergency_help	материальную помощь пострадавшему при ЧС	пострадавший при чрезвычайной ситуации	попали в чрезвычайную ситуацию, нужна срочная помощь	
088	service_088	Получение выплаты за вред здоровью в результате чрезвычайной ситуации	emergency_health_harm	выплату за вред здоровью при ЧС	человек, пострадавший здоровьем при ЧС	при ЧС получил травму, нужна выплата	
089	service_089	Получение выплаты членами семьи гражданина, погибшего при чрезвычайной ситуации	emergency_death_family	выплату семье погибшего при ЧС	член семьи погибшего при чрезвычайной ситуации	родственник погиб во время ЧС, нужна помощь семье	
090	service_090	Получение земельного сертификата	land_certificate	земельный сертификат	семья или гражданин с правом на земельный сертификат	хочу получить сертификат вместо земельного участка	
091	service_091	Распоряжение земельным сертификатом	use_land_certificate	использовать земельный сертификат	владелец земельного сертификата	сертификат на землю уже есть, хочу им распорядиться	
092	service_092	Материальная помощь гражданам, находящимся в трудной жизненной ситуации	hardship_help	материальную помощь в трудной жизненной ситуации	человек в трудной жизненной ситуации	нечего есть, случилась беда, нужна помощь	
093	service_093	Получение удостоверений гражданам в связи с аварией на Чернобыльской АЭС	chernobyl_victim_certificate	удостоверение пострадавшего от Чернобыля	гражданин, пострадавший от аварии на ЧАЭС	нужно получить удостоверение чернобыльца	
094	service_094	Получение удостоверений ликвидаторов в связи с аварией на Чернобыльской АЭС	chernobyl_liquidator_certificate	удостоверение ликвидатора Чернобыльской аварии	участник ликвидации аварии на ЧАЭС	нужно оформить удостоверение ликвидатора	
095	service_095	Получение специальных удостоверений единого образца в связи с аварией на Чернобыльской АЭС	chernobyl_special_certificate	специальное удостоверение чернобыльца	гражданин, подвергшийся радиации из-за ЧАЭС	нужно специальное удостоверение по Чернобылю	
096	service_096	"Присвоение звания ""Ветеран труда"""	labor_veteran_title	звание ветерана труда	человек с большим стажем и наградами	стаж большой, хочу получить ветерана труда	
097	service_097	Выдача удостоверений о праве на мсп для награжденных знаком Материнская слава	msp_certificate_maternal_glory	удостоверение по «Материнской славе» или семье погибшего военнослужащего	женщина со знаком «Материнская слава» или родитель погибшего военнослужащего	нужно удостоверение на меры поддержки	
098	service_098	"Присвоение звания ""Ветеран труда края"""	labor_veteran_krai_title	звание ветерана труда края	человек с большим стажем в Красноярском крае	много лет работаю в крае, хочу звание ветерана труда края	
099	service_099	Присвоение статуса, выдача удостоверения, ежемесячные выплаты Детям погибших защитников Отечества	fallen_defender_child_status	статус и выплаты детям погибших защитников Отечества	ребёнок погибшего защитника Отечества	отец погиб при защите Отечества, хочу оформить статус и выплату	
100	service_100	Удостоверение о праве на мсп для несовершеннолетних узниковконцлагерей	former_child_prisoner_certificate	удостоверение бывшего несовершеннолетнего узника	бывший несовершеннолетний узник концлагеря	нужно удостоверение бывшего узника концлагеря	
101	service_101	Возмещение расходов на погребение и изготовление памятников для Почетных граждан Красноярского края	honorary_citizen_funeral	возмещение расходов на похороны или памятник почётному гражданину края	родственник почётного гражданина Красноярского края	умер почётный гражданин края, нужны деньги на похороны или памятник	
102	service_102	Установление патронажа над несовершеннолетними	patronage_adult	патронаж над взрослым человеком	совершеннолетний человек, которому нужна помощь по здоровью	пожилой человек не справляется с делами, нужен помощник	
103	service_103	Ежемесячное пособие в связи с рождением ребенка	child_monthly_benefit	ежемесячное пособие на ребёнка	семья с ребёнком	родился ребёнок, нужна ежемесячная выплата	
104	service_104	Предоставление компьютеров инвалидам	computer_disabled_student	компьютер инвалиду для дистанционного обучения	инвалид-студент на дистанционном обучении	учусь дистанционно, нужен компьютер из-за инвалидности	
105	service_105	Компенсация инвалидам 50 процентов стоимости обучения вождению	disabled_driving_school	компенсацию автошколы инвалиду	инвалид с нарушением опорно-двигательного аппарата	хочу выучиться на права, автошкола дорогая	
106	service_106	АМП на кресло-каталку и слухового аппарата для детей-инвалидов	disabled_child_wheelchair_hearing	помощь на коляску или слуховой аппарат ребёнку-инвалиду	родитель ребёнка-инвалида	ребёнку-инвалиду нужна коляска или слуховой аппарат	
107	service_107	Установление статуса многодетной семьи	large_family_status	статус многодетной семьи	семья с тремя и более детьми	у нас трое детей, нужно оформить многодетную семью	
108	service_108	Выплата на ребёнка участника СВО, которому не предоставлено место в детском саду	svo_child_no_kindergarten	выплату ребёнку участника СВО, которому не дали садик	родитель ребёнка участника СВО	муж на СВО, ребёнку не дали место в садике	
109	service_109	Компенсация стоимости обучения вождению супругам участников СВО	svo_spouse_driving_school	компенсацию автошколы супруге или супругу участника СВО	супруг участника СВО	муж на СВО, хочу отучиться в автошколе	
110	service_110	Признание инвалида нуждающимся в сопровождаемом проживании	supported_living_disabled	сопровождаемое проживание для инвалида	инвалид, которому нужна поддержка в быту	инвалиду трудно жить одному, нужна помощь с проживанием	
